Object ID	x-center	y-center
319	153.60	153.95
320	333.50	154.38
321	324.50	154.62
322	395.75	154.50
323	646.40	155.60
324	708.83	154.92
325	167.33	156.81
326	450.30	156.94
327	144.50	156.88
328	273.50	156.50
329	415.25	157.25
330	525.58	157.83
331	705.75	157.00
332	771.65	157.90
333	614.04	158.76
334	534.00	158.75
335	559.75	159.25
336	672.05	159.40
337	247.50	159.50
338	502.76	162.24
339	749.26	160.54
340	432.50	161.89
341	713.75	160.50
342	791.62	163.18
343	224.00	162.25
344	395.71	164.67
345	409.33	162.52
346	590.50	161.50
347	642.60	162.75
348	654.75	162.58
349	272.00	163.25
350	765.25	163.75
351	776.75	163.00
352	186.33	163.67
353	225.08	163.17
354	364.50	165.25
355	671.83	164.33
356	50.75	165.25
357	85.02	166.29
358	266.19	165.81
359	283.60	164.95
360	431.75	165.25
361	588.31	165.44
362	630.14	166.31
363	415.00	166.25
364	597.08	166.81
365	314.25	167.00
366	331.25	167.00
367	428.77	167.03
368	546.83	166.67
369	559.08	167.58
370	569.10	167.70
371	682.28	169.54
372	522.50	168.00
373	140.74	169.19
374	288.50	168.50
375	591.92	169.08
376	301.25	170.25
377	656.25	170.89
378	741.67	170.17
379	751.35	170.20
380	264.50	170.50
381	477.85	171.70
382	568.75	171.00
383	624.58	171.83
384	635.83	170.92
385	790.83	170.67
386	160.19	175.33
387	171.00	172.25
388	401.75	172.25
389	584.73	173.32
390	205.75	172.50
391	267.25	173.00
392	352.05	173.40
393	360.75	173.50
394	643.92	173.83
395	500.50	174.12
396	279.89	175.75
397	329.06	176.31
398	401.50	173.50
399	570.25	174.50
400	626.97	175.97
401	224.75	176.00
402	710.83	176.33
403	131.67	177.08
404	361.50	175.00
405	689.00	177.25
406	122.25	179.00
407	235.75	178.25
408	550.87	178.77
409	346.75	179.00
410	398.00	179.75
411	490.75	179.25
412	544.50	179.38
413	674.00	179.25
414	573.60	180.30
415	77.62	181.50
416	168.40	181.30
417	207.50	181.38
418	228.67	180.92
419	341.60	181.30
420	402.88	183.62
421	684.50	180.50
422	712.75	181.25
423	70.00	182.50
424	307.67	181.67
425	586.67	183.33
426	698.75	182.25
427	163.75	182.50
428	495.75	183.00
429	511.40	182.05
430	574.00	181.50
431	773.00	182.50
432	170.00	182.50
433	276.50	185.75
434	377.72	184.94
435	383.75	184.00
436	491.00	181.50
437	530.75	184.00
438	556.75	184.00
439	672.25	184.75
440	791.75	184.00
441	444.75	185.25
442	526.14	186.43
443	694.15	185.30
444	224.67	186.33
445	470.75	186.25
446	507.00	186.25
447	634.67	186.33
448	727.75	185.50
449	301.60	187.92
450	558.00	185.25
451	614.83	186.92
452	715.25	187.75
453	765.75	186.50
454	780.53	188.57
455	285.83	187.67
456	324.60	187.95
457	571.58	189.36
458	722.00	188.25
459	188.69	189.44
460	254.73	189.60
461	390.33	188.79
462	480.25	189.89
463	672.42	186.92
464	147.19	190.81
465	548.94	190.62
466	652.42	191.44
467	293.67	190.67
468	354.75	191.25
469	539.25	191.25
470	581.25	191.50
471	383.60	192.35
472	447.90	192.85
473	190.75	192.50
474	615.10	193.70
475	402.56	194.81
476	525.25	193.50
477	669.25	194.75
478	742.75	193.50
479	230.67	194.67
480	432.75	195.00
481	516.83	195.33
482	577.71	195.71
483	657.75	195.00
484	305.75	195.50
485	441.67	196.17
486	478.51	197.36
487	56.25	197.25
488	301.50	197.75
489	421.94	197.17
490	590.50	196.50
491	134.67	198.17
492	152.60	198.30
493	685.75	198.00
494	760.67	198.72
495	57.00	198.00
496	197.50	198.50
497	295.00	199.81
498	430.00	199.25
499	598.25	199.36
500	115.00	199.50
501	180.50	200.00
502	321.15	200.30
503	625.30	202.22
504	152.50	199.75
505	670.67	201.33
506	417.00	202.17
507	494.25	202.00
508	643.33	202.08
509	430.67	202.67
510	476.92	203.08
511	677.17	203.42
512	751.75	203.00
513	171.50	204.00
514	235.50	203.50
515	255.00	204.00
516	134.00	205.25
517	319.50	205.75
518	487.60	204.95
519	142.50	206.00
520	375.96	208.46
521	419.75	206.00
522	430.75	206.25
523	511.75	205.50
524	634.75	205.50
525	690.06	206.44
526	177.15	207.05
527	289.50	207.89
528	466.75	207.25
529	768.50	207.61
530	228.25	208.00
531	346.00	208.25
532	351.00	207.75
533	662.75	208.75
534	188.60	209.70
535	384.48	209.35
536	419.75	208.50
537	459.21	210.40
538	478.67	209.19
539	590.08	208.67
540	706.81	209.62
541	784.04	209.76
542	223.89	210.99
543	285.00	209.50
544	473.98	211.35
545	559.33	210.67
546	67.81	211.44
547	392.18	211.89
548	85.08	213.08
549	206.60	212.95
550	238.89	213.75
551	276.08	212.92
552	747.75	212.50
553	377.27	215.30
554	383.96	215.38
555	632.83	213.67
556	419.92	215.08
557	559.24	216.37
558	568.94	215.75
559	270.25	215.50
560	276.33	214.17
561	311.04	216.76
562	348.50	215.62
563	409.32	219.32
564	461.77	216.13
565	474.22	216.67
566	632.50	214.50
567	646.06	216.69
568	683.92	216.08
569	726.79	217.38
570	757.83	216.17
571	294.89	217.75
572	322.33	216.92
573	417.50	217.50
574	470.70	218.60
575	497.60	218.30
576	605.67	217.67
577	151.27	219.73
578	440.00	219.25
579	602.00	219.25
580	780.52	220.30
581	326.25	219.50
582	424.60	220.51
583	146.25	220.50
584	399.33	221.33
585	432.25	221.25
586	615.71	224.55
587	160.25	222.08
588	480.75	221.50
589	491.25	222.75
590	551.75	222.25
591	693.75	222.25
592	719.18	222.89
593	209.50	222.50
594	429.75	223.25
595	504.50	223.00
596	224.33	223.67
597	382.75	223.50
598	417.67	224.08
599	446.67	224.33
600	686.10	224.98
601	772.18	226.29
602	568.75	226.00
603	126.00	226.50
604	324.50	226.00
605	190.09	229.75
606	415.75	226.50
607	549.31	227.19
608	167.50	227.75
609	350.44	228.39
610	488.50	227.75
611	575.17	228.42
612	237.33	229.17
613	340.83	229.33
614	414.00	229.00
615	468.90	229.38
616	585.25	230.25
617	295.75	230.75
618	308.50	230.89
619	481.06	232.78
620	569.15	230.30
621	607.31	230.19
622	719.42	230.72
623	128.67	231.33
624	371.50	231.25
625	385.70	232.19
626	548.79	233.91
627	673.58	231.83
628	237.23	232.86
629	375.50	231.50
630	393.00	232.25
631	758.31	232.44
632	621.80	234.00
633	157.67	234.33
634	291.60	233.95
635	468.50	234.38
636	236.40	233.80
637	267.67	235.33
638	294.75	234.50
639	449.19	235.92
640	542.65	236.22
641	745.75	235.25
642	100.67	235.67
643	201.89	236.50
644	289.11	238.59
645	274.60	238.30
646	539.40	238.19
647	577.77	239.10
648	667.85	238.54
649	681.17	238.42
650	787.31	238.81
651	796.31	238.69
652	279.50	239.25
653	607.00	239.25
654	449.42	240.42
655	655.75	239.50
656	708.25	240.36
657	770.57	240.86
658	775.83	240.33
659	184.67	241.33
660	347.92	242.03
661	460.50	240.50
662	682.92	241.33
663	715.50	241.75
664	745.75	240.50
665	369.47	243.06
666	375.29	243.42
667	428.29	242.15
668	604.55	243.63
669	624.61	245.24
670	222.05	244.18
671	76.89	244.96
672	191.19	244.67
673	342.00	244.25
674	518.75	244.25
675	656.67	244.33
