Object_ID	x-center	y-center	aperture_radius	mag_F336W	mag_F555W	color
1999	767.31	576.44	5.0	19.801	20.974	-1.173
2000	322.58	581.00	5.0	15.943	16.956	-1.013
2001	393.00	577.00	5.0	19.020	20.013	-0.993
2002	504.82	577.68	5.0	17.765	18.968	-1.203
2003	690.56	579.81	5.0	16.200	16.519	-0.319
2004	797.65	577.98	5.0	18.526	19.701	-1.175
2005	52.03	578.97	5.0	18.856	20.080	-1.224
2006	482.00	578.25	5.0	19.458	21.039	-1.581
2007	517.17	578.17	5.0	18.758	20.372	-1.614
2008	608.44	580.17	5.0	17.060	18.012	-0.952
2009	94.33	578.67	5.0	20.161	21.319	-1.158
2010	779.75	579.00	5.0	19.764	21.171	-1.407
2011	159.50	580.00	5.0	19.312	20.430	-1.119
2012	598.17	580.19	5.0	18.553	19.821	-1.268
2013	112.75	581.11	5.0	18.513	20.223	-1.710
2014	272.50	580.50	5.0	20.501	21.434	-0.932
2015	289.33	580.67	5.0	19.835	21.012	-1.177
2016	436.75	580.50	5.0	20.052	21.367	-1.315
2017	490.27	583.43	5.0	17.280	18.336	-1.056
2018	495.31	581.44	5.0	18.363	19.613	-1.250
2019	744.75	582.00	5.0	18.297	19.539	-1.242
2020	786.50	581.38	5.0	19.077	20.766	-1.689
2021	477.75	581.50	5.0	19.516	20.812	-1.296
2022	503.75	582.00	5.0	18.604	19.225	-0.621
2023	564.00	581.50	5.0	19.024	19.885	-0.861
2024	153.50	583.25	5.0	18.861	20.290	-1.429
2025	225.75	582.75	5.0	21.239	21.718	-0.479
2026	619.17	583.42	5.0	18.906	20.979	-2.073
2027	634.36	584.50	5.0	18.259	19.742	-1.482
2028	705.75	583.50	5.0	20.535	21.821	-1.285
2029	730.75	583.50	5.0	20.315	21.698	-1.383
2030	443.53	587.41	5.0	16.385	16.886	-0.501
2031	572.13	590.86	5.0	15.704	15.466	0.239
2032	772.75	584.75	5.0	19.251	20.444	-1.193
2033	775.83	584.67	5.0	19.384	20.620	-1.236
2034	96.33	585.67	5.0	18.963	20.982	-2.019
2035	195.33	585.67	5.0	19.227	20.695	-1.468
2036	203.50	585.75	5.0	19.887	21.062	-1.174
2037	341.50	585.50	5.0	20.061	20.980	-0.919
