ID	x	y
320	503.11	161.94
321	713.65	160.49
322	642.53	162.61
323	654.59	162.31
324	224.62	162.66
325	409.17	162.33
326	765.26	163.28
327	142.67	162.17
328	186.21	163.53
329	283.22	164.66
330	364.52	164.80
331	630.96	166.70
332	84.34	166.19
333	210.00	164.17
334	376.00	164.00
335	415.47	165.80
336	537.25	163.95
337	331.14	166.92
338	547.19	166.58
339	569.07	170.24
340	682.20	170.01
341	313.97	166.97
342	558.86	167.55
343	92.17	167.00
344	114.75	167.00
345	140.47	168.94
346	288.38	168.02
347	522.31	167.81
348	650.10	167.50
349	717.93	168.53
350	741.42	169.72
351	60.75	169.85
352	624.80	173.26
353	656.23	170.67
354	667.75	169.75
355	705.11	169.33
356	751.62	170.15
357	764.50	169.73
358	477.63	171.46
359	500.45	173.39
360	81.82	172.29
361	246.75	171.12
362	360.60	173.03
363	206.00	172.62
364	516.30	172.28
365	113.98	172.76
366	300.60	172.96
367	328.36	175.99
368	351.56	173.31
369	422.14	173.63
370	643.88	173.72
371	777.24	173.87
372	279.51	175.57
373	451.50	173.97
374	87.99	176.77
375	131.39	177.19
376	224.82	175.77
377	734.64	177.48
378	121.99	178.43
379	235.38	178.38
380	700.01	177.62
381	320.65	178.52
382	346.37	179.08
383	544.62	179.34
384	551.02	179.01
385	743.90	178.73
386	416.18	179.20
387	69.67	182.42
388	77.32	181.15
389	586.76	183.30
390	684.25	180.15
391	798.45	180.85
392	207.15	181.50
393	228.21	181.54
394	306.10	181.29
395	341.34	181.44
396	360.27	182.80
397	470.64	185.15
398	512.16	182.84
399	526.28	187.05
400	593.00	182.31
401	672.43	184.68
402	773.38	182.32
403	792.05	183.68
404	276.54	185.74
405	421.13	183.07
406	219.50	184.00
407	301.17	187.10
408	444.57	184.98
409	506.92	185.93
410	634.35	185.90
411	640.62	185.62
412	679.33	187.77
413	727.85	185.45
414	162.50	186.60
415	224.77	186.39
416	285.34	187.55
417	324.42	187.88
418	766.12	186.62
419	779.36	189.73
420	104.00	187.75
421	430.42	187.71
422	599.99	187.37
423	146.78	190.80
424	188.93	190.43
425	254.35	189.38
426	390.06	188.40
427	480.10	190.04
428	740.83	188.46
429	207.83	189.17
430	314.42	189.08
431	549.22	190.80
432	650.00	191.67
433	130.10	192.11
434	539.94	191.31
435	581.26	191.40
436	354.19	191.27
437	447.63	192.90
438	281.43	192.30
439	350.25	191.88
440	742.65	193.52
441	590.86	195.42
442	630.00	193.33
443	230.46	194.80
444	516.54	195.11
445	658.03	195.04
446	685.42	196.28
447	692.06	194.62
448	706.08	194.27
449	200.92	195.08
450	441.33	196.00
451	563.89	195.41
452	56.18	197.48
453	96.85	196.05
454	276.81	197.25
455	302.14	197.56
456	421.75	197.16
457	50.90	198.00
458	114.58	199.35
459	134.43	197.96
460	152.51	199.09
461	294.57	199.60
462	511.98	196.95
463	751.50	197.00
464	180.01	199.88
465	197.76	198.34
466	541.00	197.88
467	624.78	201.97
468	635.06	198.31
469	643.20	201.84
470	255.55	202.36
471	352.38	200.25
472	494.25	201.85
473	700.50	200.62
474	160.70	200.90
475	752.05	202.64
476	171.06	203.79
477	532.75	202.75
478	65.70	204.50
479	133.89	205.03
480	142.33	205.69
481	184.61	204.43
482	235.12	203.76
483	487.76	205.02
484	592.75	204.12
485	634.58	205.57
486	690.40	206.85
487	739.09	204.76
488	176.71	207.14
489	511.56	205.56
490	768.74	207.66
491	287.59	208.28
492	225.09	209.84
493	460.02	211.66
494	563.79	207.25
495	590.13	208.87
496	663.10	207.81
497	722.81	207.77
498	94.50	208.50
499	188.27	209.38
500	707.38	210.48
501	798.27	208.31
502	67.43	211.43
503	558.04	214.90
504	570.90	209.12
505	747.29	211.59
506	147.29	210.11
507	368.15	210.05
508	84.65	212.86
509	157.08	211.08
510	515.18	210.80
511	669.95	211.96
512	206.40	212.88
513	276.10	213.75
514	633.32	213.49
515	238.83	214.03
516	726.29	216.75
